x,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),3.866168990017471,0.090569,42.68755302606269,0
TreatmentPolyandrous,0.178111127339019,0.092534,1.9248182002185033,0.05425210624056156
Generation2,1.5178280060386402,0.099774,15.21266067350853,2.914527572693707e-52
Generation3,1.5281634975993652,0.10142,15.067674005120935,2.642537530960392e-51
Generation4,0.563859738375522,0.10388,5.427991320519079,5.6991810565693294e-8
Generation5,0.8769183483728795,0.10589,8.281408521795067,1.2172682266288303e-16
Generation6,1.2080064249964857,0.10746,11.241451935571241,2.551509200198324e-29
Generation7,1.1022316152100335,0.11087,9.941657934608402,2.7422452546213114e-23
Generation8,1.3886892034045197,0.11392,12.190038653480686,3.512547402122054e-34
Generation9,1.6294976593891621,0.11612,14.032876846272496,9.809029765621832e-45
Generation10,1.2691060811566182,0.11974,10.598848180696661,3.0167267215339377e-26
